namespace	name	group	subclassOf	type	version	previous_version	previous_release	url
bioschemas	BioChemEntity	biologicalentities	schema:BioChemEntity	Type	0.7-RELEASE	0.7-DRAFT-2019_06_14	0.6-RELEASE-2018_11_10	https://github.com/BioSchemas/specifications/blob/master/BioChemEntity/jsonld/BioChemEntity_v0.7-RELEASE.json
bioschemas	BioSample	samples	schema:BioChemEntity	Type	0.1-RELEASE			https://github.com/BioSchemas/specifications/blob/master/BioSample/jsonld/BioSample_v0.1-RELEASE.json
bioschemas	ChemicalSubstance	chemicals	schema:ChemicalSubstance	Profile	0.4-RELEASE	0.3-DRAFT-2019_11_11		https://github.com/BioSchemas/specifications/blob/master/ChemicalSubstance/jsonld/ChemicalSubstance_v0.4-RELEASE.json
bioschemas	Gene	genes	schema:Gene	Profile	1.0-RELEASE	0.7-RELEASE	0.7-RELEASE	https://github.com/BioSchemas/specifications/blob/master/Gene/jsonld/Gene_v1.0-RELEASE.json
bioschemas	Taxon	biodiversity	schema:Taxon	Profile	0.6-RELEASE	0.5-DRAFT-2020_04_06	0.3-RELEASE-2018_11_10	https://github.com/BioSchemas/specifications/blob/master/Taxon/jsonld/Taxon_v0.6-RELEASE.json
bioschemas	MolecularEntity	chemicals	schema:MolecularEntity	Profile	0.5-RELEASE	0.4-DRAFT-2019_11_11		https://github.com/BioSchemas/specifications/blob/master/MolecularEntity/jsonld/MolecularEntity_v0.5-RELEASE.json
bioschemas	Protein	proteins	schema:Protein	Profile	0.11-RELEASE	0.10-DRAFT-2020_04_02	0.6-RELEASE-2018_11_10	https://github.com/BioSchemas/specifications/blob/master/Protein/jsonld/Protein_v0.11-RELEASE.json
bioschemas	FormalParameter	workflow	schema:Intangible	Profile	1.0-RELEASE	0.1-DRAFT-2020_07_21		https://github.com/BioSchemas/specifications/blob/master/FormalParameter/jsonld/FormalParameter_v1.0-RELEASE.json
bioschemas	ComputationalTool	tools	schema:SoftwareApplication	Profile	1.0-RELEASE	0.6-DRAFT		https://github.com/BioSchemas/specifications/blob/master/ComputationalTool/jsonld/ComputationalTool_v1.0-RELEASE.json
bioschemas	ComputationalWorkflow	workflow	schema:SoftwareSourceCode	Profile	1.0-RELEASE	0.5-DRAFT-2020_07_21		https://github.com/BioSchemas/specifications/blob/master/ComputationalWorkflow/jsonld/ComputationalWorkflow_v1.0-RELEASE.json
bioschemas	DataCatalog	datarepositories	schema:DataCatalog	Profile	0.3-RELEASE	0.3-DRAFT-2019_06_20	0.2-RELEASE-2019_06_14	https://github.com/BioSchemas/specifications/blob/master/DataCatalog/jsonld/DataCatalog_v0.3-RELEASE.json
bioschemas	Dataset	datasets	schema:Dataset	Profile	0.3-RELEASE	0.3-DRAFT-2018_11_12		https://github.com/BioSchemas/specifications/blob/master/Dataset/jsonld/Dataset_v0.3-RELEASE.json
bioschemas	Sample	samples	schema:Thing	Profile	0.2-RELEASE	0.2-DRAFT-2018_11_10		https://github.com/BioSchemas/specifications/blob/master/Sample/jsonld/Sample_v0.2-RELEASE.json
bioschemas	Course	training	schema:Course	Profile	0.9-DRAFT-2020_12_08	0.8-DRAFT-2020_10_06		https://github.com/BioSchemas/specifications/blob/master/Course/jsonld/Course_v0.9-DRAFT-2020_12_08.json
bioschemas	CourseInstance	training	schema:CourseInstance	Profile	0.8-DRAFT-2020_10_06	0.7-DRAFT-2019_11_08		https://github.com/BioSchemas/specifications/blob/master/CourseInstance/jsonld/CourseInstance_v0.8-DRAFT-2020_10_06.json
bioschemas	Event	training	schema:Event	Profile	0.2-DRAFT-2019_06_14	0.1-DRAFT-2018_03_10		https://github.com/BioSchemas/specifications/blob/master/Event/jsonld/Event_v0.2-DRAFT-2019_06_14.json
bioschemas	Journal	publications	schema:CreativeWorkSeries	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_11_21		https://github.com/BioSchemas/specifications/blob/master/Journal/jsonld/Journal_v0.2-DRAFT-2020_12_03.json
